,depot,HB101,HB102,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB404,HB407,HB408,HB409,HB501,HB502,HB503,HB505,HB506,HB508,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC104,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC125,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145
JC008,17.704,2.414,2.642,3.02,2.457,2.608,4.266,4.423,4.34,2.511,2.75,3.09,2.642,3.12,2.15,2.059,2.584,2.194,2.315,2.337,3.902,3.893,3.675,3.732,3.91,3.062,2.951,3.341,3.457,2.397,2.664,3.854,3.11,2.429,2.148,2.215,1.797,0.0,1.95,2.46,1.775,3.089,2.738,3.87,2.954,2.297,3.521,1.701,2.13,2.489,2.487,2.28,9.087,3.996,8.011,4.323,3.238,3.227,7.809,3.941,0.754,2.23,2.185,2.264,2.49,8.951,8.635,4.289,2.557,2.337,8.258,5.324,5.093,4.783,2.243,0.906,3.054,1.907,3.38,1.655,1.945,7.625,7.79,3.528,3.003,2.222,1.993,3.96,8.338,7.619,8.028,8.589,8.6,7.516,8.623,8.076,6.904,9.064,8.546,7.503,7.105,8.321,9.421,8.53,8.005,8.187,7.827,8.098,7.489,8.912,8.115
JC009,17.34,2.243,2.471,2.849,2.287,2.437,4.096,4.383,4.298,2.276,2.516,2.919,2.408,2.885,1.527,1.825,1.962,2.014,1.692,2.166,3.667,3.723,3.441,3.561,3.676,2.827,2.781,3.171,3.287,2.227,2.494,3.619,2.939,2.258,2.834,1.749,2.143,1.95,0.0,1.946,1.665,2.088,1.64,2.579,2.526,0.946,3.255,0.351,0.78,2.115,1.137,2.463,4.783,2.513,4.079,3.032,3.299,3.459,4.419,3.734,1.701,2.502,0.834,0.913,1.139,3.876,3.117,3.826,0.742,0.986,3.31,3.391,3.387,3.492,1.729,1.178,1.703,2.179,2.282,1.927,1.662,7.418,7.583,2.43,1.52,1.367,2.265,2.773,3.101,3.768,3.565,3.795,4.297,4.262,5.352,5.16,6.697,8.857,8.338,7.296,6.898,8.114,9.214,8.323,7.798,7.98,7.62,5.421,7.282,8.705,4.937
JC013,18.547,3.556,3.784,4.162,3.6,3.75,5.409,5.566,5.482,3.653,3.892,4.232,3.784,4.262,3.296,3.202,3.73,3.336,3.46,3.479,5.044,5.035,4.817,4.874,5.052,4.204,4.093,4.484,4.6,3.539,3.807,4.996,4.252,3.571,1.331,0.882,1.34,2.46,1.946,0.0,0.741,3.096,2.647,2.313,3.534,1.714,4.263,1.6,1.108,3.123,0.812,0.968,3.92,1.822,3.467,2.766,4.307,4.286,3.555,4.91,2.149,0.898,1.824,1.783,1.31,3.013,2.13,4.834,2.359,1.203,2.447,3.124,3.12,2.77,0.233,1.626,1.251,0.575,3.29,1.446,2.999,3.996,4.681,3.438,0.828,0.624,0.988,1.786,2.113,2.905,2.702,2.932,3.433,3.399,4.488,4.297,3.987,6.073,5.527,5.185,4.786,6.002,7.158,6.267,6.038,5.993,5.055,4.558,4.299,6.649,4.074
JC014,18.266,3.649,3.878,4.255,3.693,3.844,5.502,5.659,5.575,3.746,3.986,4.325,3.878,4.355,3.386,3.295,3.82,3.429,3.55,3.572,5.137,5.129,4.911,4.967,5.146,4.297,4.187,4.577,4.693,3.633,3.9,5.089,4.345,3.664,0.846,0.794,0.652,1.775,1.665,0.741,0.0,2.755,2.307,2.441,3.193,1.373,3.922,1.228,0.799,2.782,0.942,1.448,4.387,2.289,3.941,2.894,3.966,3.978,4.023,4.601,1.84,1.378,1.484,1.442,1.001,3.48,2.597,4.493,2.05,0.894,2.914,3.253,3.249,3.238,0.539,1.317,1.718,1.055,2.949,1.1,2.691,4.463,6.245,3.097,1.296,0.517,1.137,2.253,2.581,3.372,3.169,3.399,3.901,3.866,4.956,4.764,5.359,7.519,7.001,5.958,5.56,6.776,7.876,6.985,6.46,6.642,5.522,5.025,5.944,7.367,4.541
JC018,18.479,3.364,3.643,3.97,3.408,3.609,5.08,4.746,4.661,3.5,3.739,4.089,3.628,4.106,2.693,3.048,3.127,3.18,2.858,3.336,4.891,4.844,4.555,4.52,4.896,4.048,3.901,4.292,4.408,3.396,3.665,4.84,4.06,3.428,3.601,2.566,3.073,3.089,2.088,3.096,2.755,0.0,0.513,1.478,1.184,1.433,1.255,1.851,1.923,1.065,2.349,3.807,3.339,3.506,2.453,1.715,2.288,2.925,3.621,0.89,3.192,3.786,1.844,1.58,1.813,2.421,2.954,1.685,1.381,2.209,2.513,1.839,1.608,2.283,2.921,2.669,2.189,3.463,0.687,3.418,2.741,4.282,4.412,0.831,2.732,2.511,3.502,3.2,2.98,2.971,2.768,2.838,3.499,3.465,3.928,3.695,4.053,6.68,6.211,4.974,4.575,5.066,6.322,6.001,5.476,5.658,6.847,3.956,4.585,5.343,4.017
JC019,18.128,3.013,3.318,3.694,3.131,3.284,4.898,4.564,4.479,3.174,3.414,3.764,3.303,3.78,2.368,2.723,2.802,2.854,2.533,3.011,4.565,4.567,4.23,4.338,4.571,3.722,3.625,4.018,4.132,3.071,3.34,4.515,3.784,3.103,3.153,2.118,2.625,2.738,1.64,2.647,2.307,0.513,0.0,1.433,1.017,0.983,1.585,1.401,1.474,0.898,1.9,3.358,3.298,3.057,2.462,1.67,2.121,2.758,3.577,1.461,2.742,3.337,1.395,1.131,1.363,2.376,3.094,2.352,0.932,1.759,2.468,1.799,1.567,2.238,2.472,2.219,1.74,3.014,0.642,2.968,2.291,4.237,4.371,0.791,2.283,2.061,3.052,2.75,3.078,2.926,2.723,2.793,3.454,3.42,3.887,3.654,5.474,5.431,4.884,6.074,5.675,6.892,7.992,7.101,6.576,6.758,6.397,3.916,6.059,7.483,3.431
JC020,33.62,4.636,4.864,5.242,4.679,4.83,6.488,5.997,5.912,4.668,4.908,5.311,4.8,5.278,3.92,4.217,4.354,4.406,4.084,4.558,6.059,6.115,5.833,5.953,6.068,5.219,5.173,5.563,5.679,4.619,4.886,6.012,5.331,4.65,3.034,1.978,3.093,3.87,2.579,2.313,2.441,1.478,1.433,0.0,1.994,1.96,2.561,2.378,1.849,1.874,1.522,3.221,2.347,2.123,1.536,0.489,3.097,3.734,2.252,1.983,3.719,3.151,1.981,2.107,1.498,1.051,1.584,3.329,1.908,2.169,1.143,0.847,0.843,0.913,2.076,3.196,1.363,2.828,1.669,3.121,3.268,2.912,3.139,1.817,1.999,2.067,2.674,1.816,1.61,1.601,1.398,1.468,2.129,2.095,2.936,2.703,2.683,4.479,3.933,3.604,3.206,4.422,5.522,4.631,4.106,4.288,5.463,2.964,3.215,5.013,2.48
JC022,18.344,2.484,2.566,2.943,2.379,2.532,4.111,3.778,3.693,2.423,2.662,3.012,2.551,3.029,1.617,1.972,2.051,2.103,1.781,2.259,3.814,3.816,3.478,3.552,3.82,2.971,2.874,3.267,3.38,2.32,2.589,3.763,3.033,2.352,4.04,3.005,3.512,2.954,2.526,3.534,3.193,1.184,1.017,1.994,0.0,1.863,0.715,2.281,2.354,0.652,2.779,4.237,4.095,3.936,3.809,2.467,1.296,1.933,4.373,1.872,3.49,4.216,2.274,2.01,2.243,3.173,3.974,1.522,1.811,2.639,3.264,2.595,2.364,3.035,3.351,3.0,2.62,3.894,1.439,3.851,2.026,7.964,8.129,1.587,3.162,2.941,3.932,3.63,3.958,3.722,3.52,3.589,4.251,4.217,4.684,4.451,7.243,8.995,8.526,7.842,7.444,8.66,9.76,8.869,8.344,8.526,8.166,4.712,7.828,9.251,6.333
JC023,18.15,3.003,3.231,3.609,3.046,3.197,4.855,5.087,5.002,3.036,3.275,3.679,3.167,3.645,2.287,2.585,2.721,2.773,2.452,2.926,4.427,4.482,4.2,4.321,4.435,3.587,3.54,3.93,4.046,2.986,3.253,4.379,3.699,3.018,2.219,1.184,1.691,2.297,0.946,1.714,1.373,1.433,0.983,1.96,1.863,0.0,2.775,0.677,0.528,1.635,0.917,2.374,3.777,2.074,3.073,2.026,2.818,3.455,3.413,2.498,2.079,2.353,0.449,0.407,0.38,2.87,2.111,3.346,0.897,0.888,2.304,2.385,2.381,2.486,1.489,1.556,0.757,2.031,1.801,2.164,1.791,5.212,5.377,1.95,1.3,1.462,2.069,1.767,2.095,2.762,2.559,2.789,3.29,3.256,4.346,4.154,4.491,6.651,6.133,5.09,4.692,5.908,7.008,6.117,5.592,5.775,5.414,4.415,5.076,6.499,3.931
JC024,18.911,2.49,2.572,2.949,2.385,2.538,3.73,3.397,3.312,2.429,2.668,3.018,2.367,2.844,1.432,1.978,1.866,1.918,1.597,2.265,3.699,3.619,3.484,3.171,3.584,2.786,2.88,3.273,3.386,2.326,2.595,3.473,3.039,2.357,4.769,3.734,4.241,3.521,3.255,4.263,3.922,1.255,1.585,2.561,0.715,2.775,0.0,2.794,2.867,1.192,3.293,4.85,4.4,4.45,3.564,2.772,1.102,1.74,8.329,2.015,3.864,4.8,2.787,2.523,2.756,3.478,4.487,0.786,2.325,3.152,3.57,2.9,2.669,3.34,3.865,3.476,3.133,4.478,1.744,4.225,1.925,8.145,8.31,1.893,3.676,3.454,4.445,4.143,4.471,4.028,3.825,3.895,4.556,8.036,7.009,4.756,7.424,8.633,8.164,8.023,7.625,8.841,8.276,9.05,8.525,8.707,8.347,5.017,8.009,9.432,5.971
JC027,17.527,2.693,2.922,3.299,2.737,2.888,4.546,4.833,4.748,2.726,2.966,3.369,2.858,3.335,1.978,2.275,2.412,2.464,2.142,2.616,4.117,4.173,3.891,4.011,4.126,3.277,3.231,3.621,3.737,2.677,2.944,4.07,3.389,2.708,2.183,1.073,1.476,1.701,0.351,1.6,1.228,1.851,1.401,2.378,2.281,0.677,2.794,0.0,0.429,1.816,0.786,2.163,4.464,2.162,3.76,2.713,2.999,3.636,4.099,3.593,1.401,2.202,0.483,0.563,0.82,3.557,2.798,3.527,0.76,0.635,2.991,3.071,3.067,3.173,1.429,0.878,1.352,1.879,1.982,1.627,1.68,5.899,6.064,2.13,1.169,1.016,1.965,2.454,2.782,3.449,3.246,3.476,3.977,3.943,5.033,4.841,5.178,7.338,6.819,5.777,5.379,6.595,7.695,6.804,6.279,6.461,6.101,5.102,5.763,7.186,4.618
JC032,17.955,3.122,3.35,3.728,3.165,3.316,4.974,5.262,5.177,3.155,3.394,3.798,3.286,3.764,2.406,2.703,2.84,2.892,2.571,3.045,4.546,4.601,4.319,4.439,4.554,3.706,3.659,4.049,4.165,3.105,3.372,4.498,3.818,3.136,1.646,0.644,1.32,2.13,0.78,1.108,0.799,1.923,1.474,1.849,2.354,0.528,2.867,0.429,0.0,1.95,0.357,1.614,4.035,1.733,3.331,2.284,3.133,3.77,3.671,2.812,1.83,1.564,0.645,0.609,0.391,3.128,2.369,3.661,1.211,0.32,2.562,2.643,2.639,2.744,0.931,1.307,1.015,1.242,2.116,1.41,1.993,5.471,5.635,2.264,0.74,0.587,1.309,2.025,2.353,3.02,2.817,3.048,3.549,3.514,4.604,4.412,4.749,6.909,6.391,5.348,4.95,6.166,7.266,6.376,5.851,6.033,5.672,4.673,5.334,6.757,4.189
JC034,17.88,2.493,2.575,2.952,2.388,2.541,4.0,3.667,3.582,2.432,2.671,3.021,2.56,3.038,1.626,1.98,2.06,2.112,1.79,2.268,3.823,3.889,3.487,3.441,3.828,2.98,2.883,3.276,3.389,2.329,2.597,3.772,3.042,2.36,3.629,2.594,3.101,2.489,2.115,3.123,2.782,1.065,0.898,1.874,0.652,1.635,1.192,1.816,1.95,0.0,2.377,3.835,4.196,3.534,3.36,2.568,1.223,1.86,4.873,2.118,3.047,3.814,1.872,1.608,1.84,3.274,3.571,2.019,1.409,2.236,3.764,2.696,2.465,3.136,2.949,2.558,2.217,3.491,1.54,3.408,2.257,7.522,7.686,1.688,2.76,2.538,3.529,3.227,3.555,4.222,4.02,4.25,4.751,7.413,4.785,4.552,6.8,8.96,8.442,7.4,7.001,8.218,9.318,8.427,7.902,8.084,7.723,4.813,7.385,8.809,4.329
JC035,32.651,3.434,3.662,4.04,3.478,3.628,5.287,5.574,5.489,3.467,3.706,4.11,3.598,4.076,2.718,3.016,3.152,3.204,2.883,3.357,4.858,4.913,4.631,4.752,4.867,4.018,3.971,4.362,4.478,3.417,3.685,4.81,4.13,3.449,1.533,0.477,1.519,2.487,1.137,0.812,0.942,2.349,1.9,1.522,2.779,0.917,3.293,0.786,0.357,2.377,0.0,1.605,3.474,1.376,3.03,1.983,3.49,4.127,3.11,3.45,2.187,1.534,1.042,1.0,0.558,2.567,1.685,4.017,1.568,0.677,2.001,2.341,2.337,2.325,0.574,1.664,0.561,1.212,2.473,1.629,2.384,3.551,4.236,2.621,0.383,0.575,1.182,1.34,1.668,2.459,2.257,2.487,2.988,2.954,4.043,3.852,3.542,5.628,5.082,4.739,4.341,5.557,6.713,5.822,5.593,5.547,4.61,4.113,3.854,6.204,3.629
JC038,19.064,4.154,4.382,4.76,4.198,4.348,6.007,6.164,6.08,4.251,4.49,4.83,4.382,4.86,3.89,3.8,4.324,3.934,4.055,4.077,5.642,5.633,5.415,5.472,5.65,4.802,4.691,5.082,5.198,4.137,4.405,5.594,4.85,4.169,0.404,1.399,1.157,2.28,2.463,0.968,1.448,3.807,3.358,3.221,4.237,2.374,4.85,2.163,1.614,3.835,1.605,0.0,4.612,2.514,4.159,3.458,4.781,4.826,4.247,5.436,1.879,0.266,2.299,2.257,1.816,3.705,2.822,5.308,2.886,1.709,3.139,3.816,3.812,3.462,0.925,1.356,1.943,0.4,3.764,0.996,3.544,4.688,5.373,3.912,1.52,1.316,0.548,2.478,2.806,3.597,3.394,3.624,4.125,4.091,5.181,4.989,4.679,6.765,6.219,5.877,5.478,6.695,7.85,6.959,6.73,6.685,5.747,5.25,4.991,7.341,4.766
JC051,31.153,9.362,9.59,9.968,9.406,9.556,11.215,11.502,11.417,9.395,9.635,10.038,9.526,10.004,8.646,8.944,9.08,9.133,8.811,9.285,10.786,10.842,10.56,10.68,10.795,9.946,9.899,10.29,10.406,9.346,9.613,10.738,10.058,9.377,4.962,3.952,4.971,9.087,4.783,3.92,4.387,3.339,3.298,2.347,4.095,3.777,4.4,4.464,4.035,4.196,3.474,4.612,0.0,2.973,0.868,2.013,5.446,6.083,1.262,2.944,5.836,4.585,4.078,4.037,3.712,1.453,2.263,6.009,4.257,4.208,1.822,1.594,1.816,1.851,3.921,5.313,3.307,4.263,2.928,5.134,7.112,1.443,1.65,2.657,3.434,4.039,4.676,2.666,2.29,1.765,1.396,1.086,1.336,1.621,0.569,0.933,2.133,1.741,1.194,2.696,2.977,2.304,2.038,2.739,3.065,3.567,3.869,1.194,1.688,2.553,0.672
JC052,31.348,8.872,9.1,9.478,8.916,9.066,10.725,11.012,10.927,8.905,9.144,9.548,9.036,9.514,8.156,8.454,8.59,8.642,8.321,8.795,10.296,10.351,10.069,10.19,10.304,9.456,9.409,9.8,9.916,8.855,9.123,10.248,9.568,8.887,2.864,1.854,2.873,3.996,2.513,1.822,2.289,3.506,3.057,2.123,3.936,2.074,4.45,2.162,1.733,3.534,1.376,2.514,2.973,0.0,2.808,2.417,4.679,5.316,2.559,3.95,3.681,2.431,2.197,2.155,1.714,2.017,0.874,5.296,2.757,2.053,1.312,2.865,2.771,2.142,1.766,3.158,1.425,2.108,3.401,2.979,3.539,2.95,3.586,3.784,1.553,1.884,2.521,0.307,0.857,1.909,1.706,1.936,2.437,2.568,3.493,3.301,2.7,4.86,4.342,3.3,2.901,4.117,5.218,4.327,3.802,4.881,3.943,3.562,3.285,4.708,3.078
JC053,39.529,8.287,8.515,8.893,8.33,8.481,10.14,10.427,10.342,8.32,8.559,8.963,8.451,8.929,7.571,7.869,8.005,8.057,7.736,8.21,9.711,9.766,9.484,9.605,9.719,8.871,8.824,9.214,9.33,8.27,8.538,9.663,8.983,8.302,4.509,3.478,4.518,8.011,4.079,3.467,3.941,2.453,2.462,1.536,3.809,3.073,3.564,3.76,3.331,3.36,3.03,4.159,0.868,2.808,0.0,1.321,4.67,5.307,2.139,2.111,5.291,4.179,3.553,3.512,3.071,1.067,2.374,4.571,3.481,3.742,1.933,0.752,0.974,1.163,3.515,4.768,2.935,3.857,2.075,4.694,5.674,2.276,2.545,1.804,3.028,3.64,4.246,2.777,2.401,2.391,1.976,1.484,2.088,2.553,1.409,1.828,3.473,2.581,2.035,3.591,3.996,3.199,2.878,3.635,3.96,4.462,5.098,2.09,2.521,3.477,0.964
JC055,34.074,5.089,5.317,5.695,5.132,5.283,6.942,6.234,6.149,5.122,5.361,5.765,5.253,5.731,4.373,4.671,4.807,4.859,4.538,5.012,6.513,6.568,6.286,6.407,6.521,5.673,5.626,6.017,6.132,5.072,5.34,6.465,5.785,5.104,3.487,2.431,3.546,4.323,3.032,2.766,2.894,1.715,1.67,0.489,2.467,2.026,2.772,2.713,2.284,2.568,1.983,3.458,2.013,2.417,1.321,0.0,3.644,4.281,2.856,1.648,4.266,4.238,2.918,2.654,2.586,1.695,2.611,3.084,2.455,3.257,2.17,0.689,0.458,1.581,3.163,3.743,2.451,3.915,1.108,4.209,3.815,2.993,3.261,1.232,3.087,3.155,3.762,2.783,2.638,2.628,2.425,2.2,2.805,3.122,2.778,2.545,3.71,4.321,3.775,4.631,4.233,3.916,4.463,4.351,5.133,5.315,6.551,2.806,3.237,4.193,2.322
