,depot,HB101,HB102,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB404,HB407,HB408,HB409,HB501,HB502,HB503,HB505,HB506,HB508,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC104,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC125,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145
JC057,19.063,2.503,2.585,2.683,2.398,2.551,2.777,2.443,2.358,2.106,2.344,3.031,2.179,2.657,1.245,1.726,1.679,1.731,1.409,2.279,2.745,2.666,3.199,2.217,2.63,2.599,2.893,3.286,3.127,2.059,2.608,2.52,2.774,2.371,4.812,3.777,4.284,3.238,3.299,4.307,3.966,2.288,2.121,3.097,1.296,2.818,1.102,2.999,3.133,1.223,3.49,4.781,5.446,4.679,4.67,3.644,0.0,0.637,6.056,2.964,4.231,4.997,3.055,2.791,3.024,4.497,4.755,1.544,2.592,3.42,4.948,3.919,3.688,4.359,4.132,3.741,3.4,4.674,2.763,4.592,2.219,8.439,8.604,2.912,3.943,3.722,4.713,4.411,4.739,5.406,5.203,5.433,5.934,8.331,6.008,5.775,7.718,9.878,9.36,8.317,7.919,9.135,10.235,9.344,8.819,9.002,8.641,6.037,8.303,9.726,6.883
JC059,18.942,2.459,2.54,2.861,2.354,2.506,2.197,1.863,1.778,2.284,2.522,2.478,2.357,2.835,1.423,1.904,1.857,1.909,1.587,2.234,2.165,2.085,2.619,1.637,2.05,2.777,2.848,3.241,2.547,2.237,2.563,1.94,2.952,2.326,4.857,4.414,4.153,3.227,3.459,4.286,3.978,2.925,2.758,3.734,1.933,3.455,1.74,3.636,3.77,1.86,4.127,4.826,6.083,5.316,5.307,4.281,0.637,0.0,8.495,4.627,4.03,4.966,3.301,3.428,3.606,5.134,5.392,2.181,3.21,3.739,8.943,4.556,4.325,4.996,4.204,3.642,4.038,4.643,3.4,4.391,2.09,8.311,8.476,3.549,4.227,4.183,4.729,5.048,9.024,8.305,8.714,9.274,9.286,8.202,9.308,8.762,7.59,9.75,9.231,8.189,7.791,9.007,10.107,9.216,8.691,8.873,8.512,8.783,8.175,9.598,8.801
JC063,32.18,8.085,8.313,8.691,8.128,8.279,9.937,10.225,10.14,8.118,8.357,8.761,8.249,8.727,7.369,7.666,7.803,7.855,7.534,8.008,9.509,9.564,9.282,9.402,9.517,8.669,8.622,9.012,9.128,8.068,8.335,9.461,8.781,8.099,4.598,3.588,4.607,7.809,4.419,3.555,4.023,3.621,3.577,2.252,4.373,3.413,8.329,4.099,3.671,4.873,3.11,4.247,1.262,2.559,2.139,2.856,6.056,8.495,0.0,3.791,8.613,4.164,3.657,3.615,3.29,1.134,1.842,5.24,3.981,3.786,1.401,2.256,2.478,1.532,3.499,8.09,2.885,3.842,3.264,4.712,7.542,0.281,1.134,3.319,3.013,3.617,4.254,2.245,2.22,1.393,1.028,0.718,0.722,0.691,1.303,0.677,0.948,2.435,1.889,1.566,1.967,1.399,2.681,1.869,2.063,3.049,3.068,0.938,0.584,2.172,1.914
JC065,19.331,4.217,4.445,4.823,4.26,4.411,6.069,6.357,6.272,4.25,4.489,4.893,4.381,4.859,3.501,3.798,3.935,3.987,3.666,4.14,5.641,5.696,5.414,5.534,5.649,4.801,4.754,5.144,5.26,4.2,4.467,5.593,4.913,4.231,5.468,4.754,4.776,3.941,3.734,4.91,4.601,0.89,1.461,1.983,1.872,2.498,2.015,3.593,2.812,2.118,3.45,5.436,2.944,3.95,2.111,1.648,2.964,4.627,3.791,0.0,4.316,5.252,3.471,2.457,2.689,2.563,3.959,2.02,2.258,3.909,3.518,1.557,1.326,2.449,4.355,3.826,3.066,4.929,0.954,4.677,3.219,3.861,4.129,1.041,4.058,4.333,5.015,3.875,3.985,3.599,3.56,3.068,3.673,4.138,4.543,3.413,8.069,6.168,5.699,8.668,8.27,4.783,5.81,9.696,9.17,9.353,8.992,3.674,4.105,6.325,3.506
JC066,18.312,3.168,3.396,3.774,3.211,3.362,5.02,5.177,5.094,3.265,3.504,3.844,3.396,3.874,2.904,2.813,3.338,2.947,3.069,3.091,4.656,4.647,4.429,4.485,4.664,3.816,3.705,4.095,4.211,3.151,3.418,4.608,3.864,3.182,1.911,1.992,1.56,0.754,1.701,2.149,1.84,3.192,2.742,3.719,3.49,2.079,3.864,1.401,1.83,3.047,2.187,1.879,5.836,3.681,5.291,4.266,4.231,4.03,8.613,4.316,0.0,2.254,2.38,2.459,2.685,8.931,8.615,4.269,2.537,2.532,8.238,5.304,5.073,4.978,2.438,0.931,3.249,1.932,3.36,1.68,1.926,7.606,7.77,3.509,3.194,2.416,2.018,4.152,8.319,7.6,8.008,8.569,8.581,7.497,8.603,8.057,6.884,9.044,8.526,7.484,7.085,8.301,9.402,8.511,7.986,8.168,7.807,8.078,7.469,8.893,8.096
JC072,19.394,4.104,4.332,4.71,4.148,4.298,5.957,6.113,6.03,4.201,4.44,4.78,4.332,4.81,3.84,3.75,4.274,3.884,4.005,4.027,5.592,5.583,5.365,5.422,5.6,4.752,4.641,5.032,5.148,4.087,4.355,5.544,4.8,4.119,0.616,1.349,1.106,2.23,2.502,0.898,1.378,3.786,3.337,3.151,4.216,2.353,4.8,2.202,1.564,3.814,1.534,0.266,4.585,2.431,4.179,4.238,4.997,4.966,4.164,5.252,2.254,0.0,2.637,2.596,1.773,3.627,2.744,5.647,2.974,1.817,3.061,3.739,3.735,3.385,0.848,1.578,1.866,0.323,4.103,1.218,3.614,4.611,5.296,4.251,1.443,1.238,0.76,2.4,2.728,3.519,3.317,3.547,4.048,4.014,5.103,4.912,4.601,6.688,6.142,5.799,5.401,6.617,7.773,6.882,6.653,6.607,5.669,5.173,4.914,7.264,4.689
JC074,18.038,2.89,3.119,3.497,2.934,3.085,4.743,5.03,4.945,2.923,3.163,3.566,3.055,3.532,2.175,2.472,2.609,2.661,2.339,2.813,4.314,4.37,4.088,4.208,4.323,3.474,3.428,3.818,3.934,2.874,3.141,4.267,3.586,2.905,2.33,1.327,1.693,2.185,0.834,1.824,1.484,1.844,1.395,1.981,2.274,0.449,2.787,0.483,0.645,1.872,1.042,2.299,4.078,2.197,3.553,2.918,3.055,3.301,3.657,3.471,2.38,2.637,0.0,0.524,0.623,3.36,2.601,3.659,0.988,0.439,2.794,2.875,2.871,2.976,1.18,1.107,1.247,1.474,2.115,1.856,1.908,5.703,5.867,2.263,0.972,0.819,1.541,2.257,2.585,3.252,3.049,3.28,3.781,3.747,4.836,4.644,4.981,7.141,6.623,5.58,5.182,6.398,7.498,6.608,6.083,6.265,5.904,4.905,5.566,6.989,4.421
JC075,18.117,2.97,3.198,3.576,3.013,3.164,4.822,5.11,5.025,3.003,3.242,3.646,3.134,3.612,2.254,2.551,2.688,2.74,2.419,2.893,4.394,4.449,4.167,4.287,4.402,3.554,3.507,3.897,4.013,2.953,3.22,4.346,3.666,2.984,2.288,1.285,1.772,2.264,0.913,1.783,1.442,1.58,1.131,2.107,2.01,0.407,2.523,0.563,0.609,1.608,1.0,2.257,4.037,2.155,3.512,2.654,2.791,3.428,3.615,2.457,2.459,2.596,0.524,0.0,0.731,3.221,2.462,3.23,0.463,1.116,2.654,2.735,2.731,2.837,1.839,1.312,1.107,2.313,1.686,2.061,1.384,5.563,5.728,1.834,1.65,1.497,2.42,2.118,2.445,3.112,2.91,3.14,3.641,3.607,4.696,4.505,4.842,7.002,6.483,5.441,5.043,6.259,7.359,6.468,5.943,6.125,5.765,4.766,5.427,6.85,4.282
JC076,32.989,3.196,3.424,3.802,3.239,3.39,5.048,5.335,5.25,3.229,3.468,3.872,3.36,3.838,2.48,2.777,2.914,2.966,2.645,3.119,4.62,4.675,4.393,4.513,4.628,3.78,3.733,4.123,4.239,3.179,3.446,4.572,3.891,3.21,1.847,0.844,1.653,2.49,1.139,1.31,1.001,1.813,1.363,1.498,2.243,0.38,2.756,0.82,0.391,1.84,0.558,1.816,3.712,1.714,3.071,2.586,3.024,3.606,3.29,2.689,2.685,1.773,0.623,0.731,0.0,2.737,1.978,3.531,1.081,0.683,2.171,2.252,2.248,2.353,1.082,1.628,0.624,1.443,1.986,1.784,1.863,5.079,5.244,2.134,0.941,0.789,1.51,1.634,1.962,2.629,2.426,2.656,3.158,3.123,4.213,4.021,4.358,6.518,6.0,4.957,4.559,5.775,6.875,5.985,5.459,5.642,5.281,4.282,4.943,6.366,3.798
JC077,33.322,9.226,9.454,9.832,9.27,9.42,11.079,11.366,11.281,9.259,9.499,9.902,9.391,9.868,8.51,8.808,8.945,8.997,8.675,9.149,10.65,10.706,10.424,10.544,10.659,9.81,9.764,10.154,10.27,9.21,9.477,10.602,9.922,9.241,4.055,3.045,4.064,8.951,3.876,3.013,3.48,2.421,2.376,1.051,3.173,2.87,3.478,3.557,3.128,3.274,2.567,3.705,1.453,2.017,1.067,1.695,4.497,5.134,1.134,2.563,8.931,3.627,3.36,3.221,2.737,0.0,1.307,3.837,2.847,3.096,0.866,1.105,1.327,0.397,2.809,4.201,2.195,3.151,1.885,4.022,4.206,1.415,2.166,2.168,2.322,2.927,3.564,1.555,1.334,1.253,0.909,0.417,1.021,1.486,1.991,1.781,2.335,3.557,3.011,2.641,2.858,2.904,3.699,4.284,3.137,3.941,3.96,2.042,1.718,3.204,1.558
JC078,32.045,8.91,9.139,9.517,8.954,9.105,10.763,11.05,10.965,8.943,9.183,9.586,9.075,9.552,8.195,8.492,8.629,8.681,8.359,8.833,10.334,10.39,10.108,10.228,10.343,9.494,9.448,9.838,9.954,8.894,9.161,10.287,9.606,8.925,3.172,2.162,3.181,8.635,3.117,2.13,2.597,2.954,3.094,1.584,3.974,2.111,4.487,2.798,2.369,3.571,1.685,2.822,2.263,0.874,2.374,2.611,4.755,5.392,1.842,3.959,8.615,2.744,2.601,2.462,1.978,1.307,0.0,5.011,2.795,2.364,0.439,2.441,2.487,1.678,2.077,3.47,1.463,2.419,3.116,3.29,3.577,2.356,2.949,3.5,1.59,2.195,2.832,0.567,0.335,1.045,1.042,1.2,1.701,1.54,2.774,2.564,2.09,4.572,3.794,3.011,2.613,3.829,4.929,4.038,3.513,3.696,3.715,2.826,2.659,4.42,2.341
JC080,19.679,3.192,3.274,3.506,3.087,3.24,4.32,3.987,3.902,2.929,3.37,3.72,3.003,3.481,2.068,2.549,2.502,2.554,2.233,2.967,4.289,4.209,4.036,3.761,4.174,3.422,3.582,3.974,4.088,2.882,3.296,4.063,3.74,3.059,5.34,4.305,4.812,4.289,3.826,4.834,4.493,1.685,2.352,3.329,1.522,3.346,0.786,3.527,3.661,2.019,4.017,5.308,6.009,5.296,4.571,3.084,1.544,2.181,5.24,2.02,4.269,5.647,3.659,3.23,3.531,3.837,5.011,0.0,2.947,3.774,3.946,2.836,2.604,3.214,4.487,4.136,3.755,5.029,1.703,4.987,2.647,5.139,5.408,1.828,4.298,4.076,5.067,4.765,4.413,4.404,4.201,3.745,4.349,4.898,6.486,4.692,8.379,8.111,7.641,8.978,8.58,6.062,7.753,10.005,9.48,9.662,9.301,4.953,5.384,8.268,5.448
JC081,17.947,2.799,3.028,3.406,2.843,2.994,4.652,4.939,4.854,2.832,3.072,3.475,2.964,3.442,2.084,2.381,2.518,2.57,2.248,2.722,4.223,4.279,3.997,4.117,4.232,3.383,3.337,3.727,3.843,2.783,3.05,4.176,3.495,2.814,2.917,1.855,2.226,2.557,0.742,2.359,2.05,1.381,0.932,1.908,1.811,0.897,2.325,0.76,1.211,1.409,1.568,2.886,4.257,2.757,3.481,2.455,2.592,3.21,3.981,2.258,2.537,2.974,0.988,0.463,1.081,2.847,2.795,2.947,0.0,1.093,2.509,2.59,2.586,2.692,1.694,1.444,0.962,2.236,1.541,2.193,1.679,5.418,5.583,1.689,1.505,1.668,2.274,1.972,2.3,2.967,2.765,2.995,3.496,3.462,4.551,4.36,4.697,6.857,6.338,5.296,4.898,6.114,7.214,6.323,5.798,5.98,5.619,4.621,5.282,6.705,4.137
JC082,18.162,3.329,3.557,3.935,3.372,3.523,5.181,5.469,5.383,3.362,3.601,4.005,3.493,3.971,2.613,2.91,3.047,3.099,2.778,3.252,4.753,4.808,4.526,4.646,4.761,3.913,3.866,4.256,4.372,3.312,3.579,4.705,4.024,3.343,1.74,0.964,1.069,2.337,0.986,1.203,0.894,2.209,1.759,2.169,2.639,0.888,3.152,0.635,0.32,2.236,0.677,1.709,4.208,2.053,3.742,3.257,3.42,3.739,3.786,3.909,2.532,1.817,0.439,1.116,0.683,3.096,2.364,3.774,1.093,0.0,3.061,3.142,3.138,3.244,0.744,0.98,1.514,1.105,2.745,1.09,2.354,5.97,6.134,2.894,1.501,0.723,1.172,2.458,2.786,3.519,3.316,3.547,4.048,4.014,5.103,4.911,5.248,7.408,6.89,5.848,5.449,6.665,7.766,6.875,6.35,6.532,6.171,5.173,5.833,7.257,4.688
JC084,32.203,8.533,8.762,9.139,8.577,8.728,10.386,10.673,10.588,8.566,8.806,9.209,8.698,9.175,7.818,8.115,8.252,8.304,7.982,8.456,9.957,10.013,9.731,9.851,9.966,9.117,9.071,9.461,9.577,8.517,8.784,9.91,9.229,8.548,3.489,2.479,3.498,8.258,3.31,2.447,2.914,2.513,2.468,1.143,3.264,2.304,3.57,2.991,2.562,3.764,2.001,3.139,1.822,1.312,1.933,2.17,4.948,8.943,1.401,3.518,8.238,3.061,2.794,2.654,2.171,0.866,0.439,3.946,2.509,3.061,0.0,2.027,2.249,1.263,2.349,3.742,1.735,2.691,2.525,3.562,3.849,1.942,2.535,3.09,1.863,2.467,3.104,1.005,0.492,0.631,0.628,0.785,1.287,1.126,2.36,2.15,1.713,4.195,3.38,2.634,2.236,3.452,4.552,3.661,3.136,3.318,3.337,2.411,2.245,4.043,1.927
JC093,34.432,5.599,5.828,6.205,5.643,5.794,7.452,6.363,6.278,5.632,5.872,6.275,5.764,6.241,4.884,5.181,5.318,5.37,5.048,5.522,7.023,7.079,6.797,6.917,7.032,6.183,6.137,6.527,6.643,5.583,5.85,6.975,6.295,5.614,3.845,2.79,3.904,5.324,3.391,3.124,3.253,1.839,1.799,0.847,2.595,2.385,2.9,3.071,2.643,2.696,2.341,3.816,1.594,2.865,0.752,0.689,3.919,4.556,2.256,1.557,5.304,3.739,2.875,2.735,2.252,1.105,2.441,2.836,2.59,3.142,2.027,0.0,0.434,0.799,2.809,3.929,2.096,3.438,1.483,3.854,4.001,2.501,2.768,1.275,2.609,2.8,3.407,2.009,2.018,2.008,1.805,1.33,1.934,2.503,2.526,2.293,3.09,4.07,3.523,4.011,3.613,3.506,4.212,5.038,4.513,4.695,6.196,2.555,2.745,3.942,2.07
JC094,34.428,5.368,5.596,5.974,5.412,5.562,7.221,6.132,6.047,5.401,5.641,6.044,5.532,6.01,4.652,4.95,5.086,5.139,4.817,5.291,6.792,6.847,6.565,6.686,6.801,5.952,5.905,6.296,6.412,5.351,5.619,6.744,6.064,5.383,3.841,2.786,3.9,5.093,3.387,3.12,3.249,1.608,1.567,0.843,2.364,2.381,2.669,3.067,2.639,2.465,2.337,3.812,1.816,2.771,0.974,0.458,3.688,4.325,2.478,1.326,5.073,3.735,2.871,2.731,2.248,1.327,2.487,2.604,2.586,3.138,2.249,0.434,0.0,1.91,3.623,4.743,2.911,4.376,1.833,4.669,5.432,3.322,3.591,1.562,3.547,3.615,4.222,3.364,3.098,3.088,3.022,2.53,3.134,3.582,2.35,2.874,4.17,3.521,2.975,4.637,4.693,4.245,3.818,4.681,5.006,5.508,7.011,3.135,3.567,4.523,1.904
JC095,34.534,5.549,5.777,6.155,5.593,5.743,7.136,6.803,6.718,5.582,5.821,6.225,5.713,6.191,4.833,5.131,5.267,5.319,4.998,5.472,6.973,7.028,6.746,6.867,6.981,6.133,6.086,6.477,6.593,5.532,5.8,6.925,6.245,5.564,3.812,2.803,3.822,4.783,3.492,2.77,3.238,2.283,2.238,0.913,3.035,2.486,3.34,3.173,2.744,3.136,2.325,3.462,1.851,2.142,1.163,1.581,4.359,4.996,1.532,2.449,4.978,3.385,2.976,2.837,2.353,0.397,1.678,3.214,2.692,3.244,1.263,0.799,1.91,0.0,2.841,4.038,2.206,3.183,1.593,4.054,4.11,1.909,2.176,1.751,2.354,2.91,3.516,1.753,1.899,1.889,1.474,0.982,1.586,2.051,2.001,1.864,2.971,3.478,2.932,3.185,3.494,2.915,3.724,3.373,3.681,4.576,4.595,2.125,2.154,3.215,1.569
JC097,18.33,3.339,3.567,3.945,3.382,3.533,5.192,5.348,5.265,3.436,3.675,4.015,3.567,4.045,3.078,2.984,3.513,3.119,3.243,3.262,4.827,4.818,4.6,4.657,4.835,3.987,3.876,4.267,4.382,3.322,3.59,4.779,4.035,3.354,1.275,0.665,1.116,2.243,1.729,0.233,0.539,2.921,2.472,2.076,3.351,1.489,3.865,1.429,0.931,2.949,0.574,0.925,3.921,1.766,3.515,3.163,4.132,4.204,3.499,4.355,2.438,0.848,1.18,1.839,1.082,2.809,2.077,4.487,1.694,0.744,2.349,2.809,3.623,2.841,0.0,1.567,1.463,0.512,3.7,1.206,3.211,4.208,4.893,3.848,1.04,0.835,0.756,1.997,2.325,3.116,2.914,3.144,3.645,3.611,4.7,4.509,4.198,6.285,5.739,5.396,4.998,6.214,7.37,6.479,6.25,6.204,5.266,4.77,4.511,6.861,4.286
JC098,17.789,2.78,3.008,3.386,2.824,2.974,4.633,4.79,4.706,2.877,3.116,3.456,3.008,3.486,2.516,2.426,2.95,2.56,2.681,2.703,4.268,4.259,4.041,4.098,4.276,3.428,3.317,3.708,3.824,2.764,3.031,4.22,3.476,2.795,1.388,1.469,1.037,0.906,1.178,1.626,1.317,2.669,2.219,3.196,3.0,1.556,3.476,0.878,1.307,2.558,1.664,1.356,5.313,3.158,4.768,3.743,3.741,3.642,8.09,3.826,0.931,1.578,1.107,1.312,1.628,4.201,3.47,4.136,1.444,0.98,3.742,3.929,4.743,4.038,1.567,0.0,2.335,1.188,2.913,0.936,2.307,7.902,8.066,3.062,2.281,1.503,1.274,3.238,3.566,7.896,4.137,4.368,4.869,7.793,5.924,8.353,7.18,9.34,8.822,7.78,7.381,8.597,9.698,8.807,8.282,8.464,8.103,8.374,7.765,9.189,8.392
JC099,33.365,3.76,3.988,4.366,3.803,3.954,5.612,5.844,5.759,3.793,4.032,4.436,3.924,4.402,3.044,3.341,3.478,3.53,3.208,3.683,5.184,5.239,4.957,5.077,5.192,4.343,4.297,4.687,4.803,3.743,4.01,5.136,4.455,3.774,2.293,1.039,2.303,3.054,1.703,1.251,1.718,2.189,1.74,1.363,2.62,0.757,3.133,1.352,1.015,2.217,0.561,1.943,3.307,1.425,2.935,2.451,3.4,4.038,2.885,3.066,3.249,1.866,1.247,1.107,0.624,2.195,1.463,3.755,0.962,1.514,1.735,2.096,2.911,2.206,1.463,2.335,0.0,1.426,2.237,1.912,2.114,5.243,5.408,2.385,0.695,0.858,1.465,1.388,1.715,2.792,2.59,2.82,3.321,3.287,4.376,4.185,4.522,6.682,6.163,5.121,4.723,5.939,7.039,6.148,5.623,5.805,5.445,4.446,5.107,6.53,3.962
JC102,19.071,3.781,4.01,4.387,3.825,3.976,5.634,5.791,5.707,3.878,4.118,4.457,4.01,4.487,3.518,3.427,3.952,3.561,3.682,3.704,5.269,5.261,5.043,5.099,5.278,4.429,4.319,4.709,4.825,3.765,4.032,5.221,4.477,3.796,0.75,1.026,0.784,1.907,2.179,0.575,1.055,3.463,3.014,2.828,3.894,2.031,4.478,1.879,1.242,3.491,1.212,0.4,4.263,2.108,3.857,3.915,4.674,4.643,3.842,4.929,1.932,0.323,1.474,2.313,1.443,3.151,2.419,5.029,2.236,1.105,2.691,3.438,4.376,3.183,0.512,1.188,1.426,0.0,3.78,0.895,3.292,4.288,4.973,3.928,1.12,0.916,0.437,2.078,2.406,3.197,2.994,3.224,3.725,3.691,4.781,4.589,4.279,6.365,5.819,5.477,5.078,6.295,7.45,6.559,6.33,6.285,5.347,4.85,4.591,6.941,4.366
JC103,18.77,3.655,3.96,4.336,3.773,3.926,5.54,5.207,5.121,3.816,4.056,4.406,3.945,4.423,3.01,3.365,3.444,3.496,3.175,3.653,5.207,5.21,4.872,4.981,5.213,4.365,4.268,4.66,4.774,3.713,3.982,5.157,4.426,3.745,3.795,2.76,3.267,3.38,2.282,3.29,2.949,0.687,0.642,1.669,1.439,1.801,1.744,1.982,2.116,1.54,2.473,3.764,2.928,3.401,2.075,1.108,2.763,3.4,3.264,0.954,3.36,4.103,2.115,1.686,1.986,1.885,3.116,1.703,1.541,2.745,2.525,1.483,1.833,1.593,3.7,2.913,2.237,3.78,0.0,3.553,2.876,4.353,4.324,0.907,2.868,2.646,3.637,3.197,3.051,3.042,2.839,2.909,3.57,3.536,4.004,3.77,4.124,5.547,5.001,5.045,4.647,5.141,5.689,6.072,5.547,5.729,6.965,4.032,4.656,5.419,3.547
JC104,18.819,3.529,3.757,4.135,3.573,3.723,5.382,5.539,5.455,3.626,3.865,4.205,3.757,4.235,3.265,3.175,3.699,3.309,3.43,3.452,5.017,5.009,4.79,4.847,5.025,4.177,4.066,4.457,4.573,3.513,3.78,4.969,4.225,3.544,1.027,1.367,0.676,1.655,1.927,1.446,1.1,3.418,2.968,3.121,3.851,2.164,4.225,1.627,1.41,3.408,1.629,0.996,5.134,2.979,4.694,4.209,4.592,4.391,4.712,4.677,1.68,1.218,1.856,2.061,1.784,4.022,3.29,4.987,2.193,1.09,3.562,3.854,4.669,4.054,1.206,0.936,1.912,0.895,3.553,0.0,3.175,4.99,5.676,3.722,1.823,1.14,0.529,2.78,3.108,3.899,3.696,3.926,4.428,4.393,5.483,5.291,5.981,8.141,6.521,6.581,6.182,7.398,8.499,7.608,7.083,6.987,6.049,5.552,6.566,7.99,5.068
JC105,17.444,1.68,1.909,2.286,1.724,1.875,3.533,3.82,3.735,1.713,1.953,2.356,1.845,2.322,0.965,1.262,1.399,1.451,1.129,1.603,3.104,3.16,2.878,2.998,3.113,2.264,2.218,2.608,2.724,1.664,1.931,3.057,2.376,1.695,3.575,2.669,2.866,1.945,1.662,2.999,2.691,2.741,2.291,3.268,2.026,1.791,1.925,1.68,1.993,2.257,2.384,3.544,7.112,3.539,5.674,3.815,2.219,2.09,7.542,3.219,1.926,3.614,1.908,1.384,1.863,4.206,3.577,2.647,1.679,2.354,3.849,4.001,5.432,4.11,3.211,2.307,2.114,3.292,2.876,3.175,0.0,6.893,7.058,2.112,2.522,2.369,3.408,3.536,3.864,6.887,7.296,4.558,7.868,6.785,7.891,7.344,6.172,8.332,7.814,6.771,6.373,7.589,8.689,7.799,7.273,7.456,7.095,7.366,6.757,8.18,7.383
JC107,31.997,7.901,8.129,8.507,7.944,8.095,9.754,10.041,9.956,7.934,8.173,8.577,8.065,8.543,7.185,7.483,7.619,7.671,7.35,7.824,9.325,9.38,9.098,9.219,9.333,8.485,8.438,8.829,8.944,7.884,8.152,9.277,8.597,7.916,5.038,4.028,5.047,7.625,7.418,3.996,4.463,4.282,4.237,2.912,7.964,5.212,8.145,5.899,5.471,7.522,3.551,4.688,1.443,2.95,2.276,2.993,8.439,8.311,0.281,3.861,7.606,4.611,5.703,5.563,5.079,1.415,2.356,5.139,5.418,5.97,1.942,2.501,3.322,1.909,4.208,7.902,5.243,4.288,4.353,4.99,6.893,0.0,1.33,3.77,3.607,4.211,4.849,2.619,2.106,1.279,1.358,1.573,1.575,0.817,1.545,0.999,0.719,2.632,2.086,1.337,1.571,1.627,3.206,2.319,1.833,2.492,2.673,1.113,0.811,2.697,2.607
JC108,29.63,8.066,8.294,8.672,8.109,8.26,9.918,10.205,10.12,8.099,8.338,8.742,8.23,8.708,7.35,7.647,7.784,7.836,7.515,7.989,9.49,9.545,9.263,9.383,9.498,8.65,8.603,8.993,9.109,8.049,8.316,9.442,8.761,8.08,5.723,4.714,5.733,7.79,7.583,4.681,6.245,4.412,4.371,3.139,8.129,5.377,8.31,6.064,5.635,7.686,4.236,5.373,1.65,3.586,2.545,3.261,8.604,8.476,1.134,4.129,7.77,5.296,5.867,5.728,5.244,2.166,2.949,5.408,5.583,6.134,2.535,2.768,3.591,2.176,4.893,8.066,5.408,4.973,4.324,5.676,7.058,1.33,0.0,3.693,4.106,4.711,5.348,3.463,2.95,2.126,2.12,1.81,1.846,1.615,1.41,0.749,1.18,1.342,0.945,1.067,1.209,0.738,1.548,1.197,1.564,2.024,2.24,0.497,0.486,1.039,2.53
JC109,18.918,3.804,4.108,4.485,3.921,4.074,5.688,5.355,5.27,3.965,4.204,4.554,4.093,4.571,3.159,3.514,3.593,3.645,3.323,3.801,5.356,5.358,5.02,5.129,5.361,4.513,4.416,4.809,4.922,3.862,4.131,5.305,4.575,3.893,3.944,2.909,3.416,3.528,2.43,3.438,3.097,0.831,0.791,1.817,1.587,1.95,1.893,2.13,2.264,1.688,2.621,3.912,2.657,3.784,1.804,1.232,2.912,3.549,3.319,1.041,3.509,4.251,2.263,1.834,2.134,2.168,3.5,1.828,1.689,2.894,3.09,1.275,1.562,1.751,3.848,3.062,2.385,3.928,0.907,3.722,2.112,3.77,3.693,0.0,3.075,3.143,3.75,2.772,2.626,2.616,2.414,1.917,2.522,3.111,3.161,2.928,3.698,4.704,4.158,4.619,4.221,4.299,5.669,5.646,5.121,5.303,6.539,3.189,3.333,4.577,2.705
JC110,33.997,3.817,4.045,4.423,3.861,4.011,5.67,5.957,5.872,3.85,4.09,4.493,3.981,4.459,3.101,3.399,3.535,3.588,3.266,3.74,5.241,5.296,5.014,5.135,5.25,4.401,4.354,4.745,4.861,3.8,4.068,5.193,4.513,3.832,1.87,0.861,1.88,3.003,1.52,0.828,1.296,2.732,2.283,1.999,3.162,1.3,3.676,1.169,0.74,2.76,0.383,1.52,3.434,1.553,3.028,3.087,3.943,4.227,3.013,4.058,3.194,1.443,0.972,1.65,0.941,2.322,1.59,4.298,1.505,1.501,1.863,2.609,3.547,2.354,1.04,2.281,0.695,1.12,2.868,1.823,2.522,3.607,4.106,3.075,0.0,0.967,1.604,1.3,1.851,2.453,2.251,2.481,2.982,4.37,4.037,4.929,3.757,5.917,5.399,4.356,3.958,5.174,6.33,5.439,5.21,5.164,4.226,4.951,4.342,5.821,3.623
JC115,18.308,3.318,3.546,3.924,3.361,3.512,5.17,5.327,5.243,3.414,3.654,3.993,3.546,4.023,3.057,2.963,3.491,3.097,3.222,3.241,4.805,4.797,4.579,4.635,4.814,3.965,3.855,4.245,4.361,3.301,3.568,4.758,4.013,3.332,1.364,0.196,1.169,2.222,1.367,0.624,0.517,2.511,2.061,2.067,2.941,1.462,3.454,1.016,0.587,2.538,0.575,1.316,4.039,1.884,3.64,3.155,3.722,4.183,3.617,4.333,2.416,1.238,0.819,1.497,0.789,2.927,2.195,4.076,1.668,0.723,2.467,2.8,3.615,2.91,0.835,1.503,0.858,0.916,2.646,1.14,2.369,4.211,4.711,3.143,0.967,0.0,0.897,2.281,2.609,3.276,3.073,3.304,3.805,3.771,4.86,4.668,5.005,7.165,6.647,5.605,5.206,6.422,7.523,6.632,6.107,6.289,5.928,4.93,5.59,7.014,4.445
